Time,raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED
3.480000000000000000e+02,1.050000000000000000e+02,8.250000000000000000e+02,1.500000000000000000e+01
3.490000000000000000e+02,nan,nan,nan
3.500000000000000000e+02,1.100000000000000000e+02,1.570500000000000000e+03,nan
3.510000000000000000e+02,nan,nan,nan
3.520000000000000000e+02,1.140000000000000000e+02,1.593000000000000000e+03,2.100000000000000000e+01
3.530000000000000000e+02,nan,nan,nan
3.540000000000000000e+02,1.030000000000000000e+02,1.509000000000000000e+03,2.300000000000000000e+01
3.550000000000000000e+02,nan,nan,nan
3.560000000000000000e+02,1.110000000000000000e+02,1.606500000000000000e+03,2.100000000000000000e+01
3.570000000000000000e+02,nan,nan,nan
3.580000000000000000e+02,nan,1.835000000000000000e+03,2.400000000000000000e+01
3.590000000000000000e+02,nan,nan,nan
3.600000000000000000e+02,1.100000000000000000e+02,1.832000000000000000e+03,2.700000000000000000e+01
3.610000000000000000e+02,nan,nan,nan
3.620000000000000000e+02,1.110000000000000000e+02,1.850500000000000000e+03,nan
3.630000000000000000e+02,nan,nan,3.000000000000000000e+01
3.640000000000000000e+02,1.090000000000000000e+02,1.346500000000000000e+03,nan
3.650000000000000000e+02,nan,nan,3.200000000000000000e+01
3.660000000000000000e+02,1.050000000000000000e+02,1.416000000000000000e+03,nan
3.670000000000000000e+02,nan,nan,3.300000000000000000e+01
3.680000000000000000e+02,1.060000000000000000e+02,1.435000000000000000e+03,nan
3.690000000000000000e+02,nan,1.494000000000000000e+03,3.400000000000000000e+01
3.700000000000000000e+02,1.050000000000000000e+02,nan,nan
3.710000000000000000e+02,1.070000000000000000e+02,1.409000000000000000e+03,3.300000000000000000e+01
3.720000000000000000e+02,nan,nan,nan
3.730000000000000000e+02,1.120000000000000000e+02,1.490000000000000000e+03,3.400000000000000000e+01
3.740000000000000000e+02,nan,nan,nan
3.750000000000000000e+02,1.090000000000000000e+02,1.610500000000000000e+03,3.700000000000000000e+01
3.760000000000000000e+02,nan,nan,nan
3.770000000000000000e+02,1.060000000000000000e+02,1.636000000000000000e+03,3.600000000000000000e+01
3.780000000000000000e+02,nan,nan,nan
3.790000000000000000e+02,1.100000000000000000e+02,1.691000000000000000e+03,3.900000000000000000e+01
3.800000000000000000e+02,nan,nan,nan
3.810000000000000000e+02,1.110000000000000000e+02,1.623000000000000000e+03,3.800000000000000000e+01
3.820000000000000000e+02,nan,nan,nan
3.830000000000000000e+02,nan,1.506500000000000000e+03,3.500000000000000000e+01
3.840000000000000000e+02,nan,nan,nan
3.850000000000000000e+02,1.100000000000000000e+02,1.553500000000000000e+03,3.600000000000000000e+01
3.860000000000000000e+02,nan,nan,nan
3.870000000000000000e+02,1.080000000000000000e+02,1.646000000000000000e+03,3.800000000000000000e+01
3.880000000000000000e+02,nan,nan,nan
3.890000000000000000e+02,1.060000000000000000e+02,1.690000000000000000e+03,3.900000000000000000e+01
3.900000000000000000e+02,nan,nan,3.700000000000000000e+01
3.910000000000000000e+02,1.100000000000000000e+02,1.611500000000000000e+03,nan
3.920000000000000000e+02,nan,nan,3.600000000000000000e+01
3.930000000000000000e+02,1.070000000000000000e+02,1.561500000000000000e+03,nan
3.940000000000000000e+02,nan,1.548500000000000000e+03,nan
3.950000000000000000e+02,1.130000000000000000e+02,nan,nan
3.960000000000000000e+02,1.050000000000000000e+02,1.554500000000000000e+03,nan
3.970000000000000000e+02,nan,nan,nan
3.980000000000000000e+02,1.060000000000000000e+02,1.599000000000000000e+03,3.700000000000000000e+01
3.990000000000000000e+02,nan,nan,nan
4.000000000000000000e+02,1.110000000000000000e+02,1.531500000000000000e+03,3.500000000000000000e+01
4.010000000000000000e+02,nan,nan,nan
4.020000000000000000e+02,1.100000000000000000e+02,1.416500000000000000e+03,3.300000000000000000e+01
4.030000000000000000e+02,nan,nan,nan
4.040000000000000000e+02,1.080000000000000000e+02,1.245000000000000000e+03,2.900000000000000000e+01
4.050000000000000000e+02,nan,nan,nan
4.060000000000000000e+02,1.060000000000000000e+02,9.645000000000000000e+02,2.300000000000000000e+01
4.070000000000000000e+02,nan,nan,nan
4.080000000000000000e+02,1.030000000000000000e+02,8.260000000000000000e+02,1.700000000000000000e+01
4.090000000000000000e+02,nan,nan,nan
4.100000000000000000e+02,1.020000000000000000e+02,7.455000000000000000e+02,9.000000000000000000e+00
4.110000000000000000e+02,nan,nan,nan
4.120000000000000000e+02,nan,7.460000000000000000e+02,1.000000000000000000e+00
4.130000000000000000e+02,nan,nan,nan
4.140000000000000000e+02,4.500000000000000000e+01,3.920000000000000000e+02,0.000000000000000000e+00
4.150000000000000000e+02,nan,nan,nan
4.160000000000000000e+02,1.020000000000000000e+02,0.000000000000000000e+00,nan
4.170000000000000000e+02,nan,nan,nan
4.180000000000000000e+02,nan,nan,nan
4.190000000000000000e+02,nan,nan,nan
4.200000000000000000e+02,nan,nan,nan
4.210000000000000000e+02,nan,nan,nan
